"genotype","BLUP_combined","trait","Genotype","dev_year"
"L033",36.6009120125668,"RepP","L033",2026
"L034",38.1944522389714,"RepP","L034",2026
"L035",36.2570677769502,"RepP","L035",2026
"L036",36.3190635341099,"RepP","L036",2026
"L037",35.2466901770176,"RepP","L037",2026
"L038",36.7391520779976,"RepP","L038",2026
"L039",37.6918259184794,"RepP","L039",2026
"L040",36.4642188447838,"RepP","L040",2026
"L041",37.01414059866,"RepP","L041",2026
"L042",36.863136399636,"RepP","L042",2026
"L043",36.7306026082429,"RepP","L043",2026
"L044",36.104572945898,"RepP","L044",2026
"L045",38.8813443598807,"RepP","L045",2027
"L046",37.0406696290313,"RepP","L046",2027
"L047",38.3624187570444,"RepP","L047",2026
"L048",37.1474434063881,"RepP","L048",2026
"L049",36.2418377643598,"RepP","L049",2026
"L050",37.5560349604764,"RepP","L050",2027
"L051",36.470535291169,"RepP","L051",2027
"L052",36.2960959247045,"RepP","L052",2027
"L053",37.4514495923579,"RepP","L053",2027
"L054",35.0450777918651,"RepP","L054",2027
"L055",38.256057176287,"RepP","L055",2014
"L056",38.5603303481331,"RepP","L056",2016
"L057",35.7088132526267,"RepP","L057",2017
"L058",36.6099872229984,"RepP","L058",2018
"L059",37.6214492749989,"RepP","L059",2018
"L060",37.517280078575,"RepP","L060",2018
"L061",37.7644781216339,"RepP","L061",2019
"L062",38.6060712952334,"RepP","L062",2020
"L063",37.7274666936543,"RepP","L063",2019
"L064",37.0754214155572,"RepP","L064",2019
"L065",37.8889093329223,"RepP","L065",2019
"L066",36.7384442150671,"RepP","L066",2019
"L067",35.6388334908749,"RepP","L067",2019
"L068",36.803078919114,"RepP","L068",2019
"L069",37.2390744506123,"RepP","L069",2019
"L070",38.3796161485099,"RepP","L070",2019
"L071",37.2490518304082,"RepP","L071",2019
"L072",37.0639957926383,"RepP","L072",2019
"L073",35.8381775443821,"RepP","L073",2006
"L074",36.5137237838312,"RepP","L074",2006
"L075",36.8615251524896,"RepP","L075",2006
"L076",37.2483929338553,"RepP","L076",2014
"L077",37.213225343681,"RepP","L077",2007
"L078",35.6095134617047,"RepP","L078",2008
"L079",38.2917467590359,"RepP","L079",2008
"L080",38.0124125182328,"RepP","L080",2009
"L081",35.1336026059208,"RepP","L081",2008
"L082",38.015904320082,"RepP","L082",2009
"L083",36.8530377357756,"RepP","L083",2010
"L084",37.1503273504024,"RepP","L084",2013
"L085",37.1145226209079,"RepP","L085",2014
"L086",37.6664462263105,"RepP","L086",2013
"L087",38.1583057732318,"RepP","L087",2013
"L088",36.7720863249822,"RepP","L088",2007
"L089",36.7376730226909,"RepP","L089",2016
"L090",39.76376919538,"RepP","L090",2016
"L091",36.6845247472271,"RepP","L091",2016
"L092",35.756106029967,"RepP","L092",2017
"L093",36.7000405622891,"RepP","L093",2018
"L094",35.9803932558621,"RepP","L094",2017
"L095",36.0324603369482,"RepP","L095",2020
"L096",38.0874602023566,"RepP","L096",2020
"L097",36.8934709381998,"RepP","L097",2019
"L098",37.3572236690231,"RepP","L098",2019
"L099",37.909563918753,"RepP","L099",2019
"L100",37.588465421213,"RepP","L100",2019
"L001",2.39676072955212,"lodging","L001",2023
"L002",3.19811266226417,"lodging","L002",2025
"L003",2.11505962499841,"lodging","L003",2023
"L004",2.27534177144426,"lodging","L004",2026
"L005",2.52048563300054,"lodging","L005",2023
"L006",2.33869076088021,"lodging","L006",2023
"L007",2.06701042987511,"lodging","L007",2023
"L008",2.92020489571886,"lodging","L008",2023
"L009",2.31567659419687,"lodging","L009",2023
"L010",2.53149085553479,"lodging","L010",2023
"L011",2.6087663133232,"lodging","L011",2026
"L012",2.58192877638653,"lodging","L012",2023
"L013",2.61249256335626,"lodging","L013",2024
"L014",2.53372636982667,"lodging","L014",2025
"L015",2.50259351118879,"lodging","L015",2024
"L016",3.17070955228214,"lodging","L016",2025
"L017",2.70971351817506,"lodging","L017",2024
"L018",3.05608432199514,"lodging","L018",2024
"L019",3.4865655482937,"lodging","L019",2023
"L020",3.04052691096243,"lodging","L020",2025
"L021",2.31168189083583,"lodging","L021",2024
"L022",3.58379783313063,"lodging","L022",2024
"L023",3.89963116695133,"lodging","L023",2026
"L024",3.68357729150637,"lodging","L024",2024
"L025",4.04711507806045,"lodging","L025",2026
"L026",2.64651791756664,"lodging","L026",2025
"L027",2.87500406797304,"lodging","L027",2026
"L028",3.88351852629799,"lodging","L028",2025
"L029",3.02706383973702,"lodging","L029",2026
"L030",2.88656669761125,"lodging","L030",2025
"L031",2.79977655123258,"lodging","L031",2026
"L032",3.76725879837738,"lodging","L032",2026
"L033",3.64379634868477,"lodging","L033",2026
"L034",3.89968063006461,"lodging","L034",2026
"L035",2.35510164173833,"lodging","L035",2026
"L036",3.72607729433404,"lodging","L036",2026
"L037",3.56373760071762,"lodging","L037",2026
"L038",4.1206264640678,"lodging","L038",2026
"L039",2.44959705302489,"lodging","L039",2026
"L040",2.90496760064679,"lodging","L040",2026
"L041",2.32463275461034,"lodging","L041",2026
"L042",3.23090611286964,"lodging","L042",2026
"L043",2.90908411189772,"lodging","L043",2026
"L044",2.87300788117261,"lodging","L044",2026
"L045",2.98784405088283,"lodging","L045",2027
"L046",3.03712788927444,"lodging","L046",2027
"L047",3.77004201562292,"lodging","L047",2026
"L048",3.00624033261067,"lodging","L048",2026
"L049",2.24810639734803,"lodging","L049",2026
"L050",2.24883340879957,"lodging","L050",2027
"L051",3.11227035685921,"lodging","L051",2027
"L052",3.15989253567716,"lodging","L052",2027
