"Lentil","PredictedMean","BLUP","Trait","ENV","grand_mean"
"L051",86.2835481324727,-0.452330474539494,"DTM","Clavet_2024",86.7358786070122
"L052",86.8671368612011,0.131258254188921,"DTM","Clavet_2024",86.7358786070122
"L053",88.0177419246068,1.2818633175946,"DTM","Clavet_2024",86.7358786070122
"L054",84.3909624941276,-2.34491611288458,"DTM","Clavet_2024",86.7358786070122
"L055",87.9805945552772,1.24471594826501,"DTM","Clavet_2024",86.7358786070122
"L056",89.0957918729217,2.35991326590947,"DTM","Clavet_2024",86.7358786070122
"L057",84.9695066529211,-1.76637195409108,"DTM","Clavet_2024",86.7358786070122
"L058",89.1177937622551,2.38191515524287,"DTM","Clavet_2024",86.7358786070122
"L059",89.4287566708747,2.69287806386244,"DTM","Clavet_2024",86.7358786070122
"L060",85.8878684477649,-0.848010159247337,"DTM","Clavet_2024",86.7358786070122
"L061",88.445103241168,1.7092246341558,"DTM","Clavet_2024",86.7358786070122
"L062",88.8925873789108,2.15670877189858,"DTM","Clavet_2024",86.7358786070122
"L063",86.3101437907323,-0.425734816279927,"DTM","Clavet_2024",86.7358786070122
"L064",86.7653326312232,0.0294540242109349,"DTM","Clavet_2024",86.7358786070122
"L065",87.4610348928652,0.725156285852961,"DTM","Clavet_2024",86.7358786070122
"L066",86.162186318913,-0.57369228809921,"DTM","Clavet_2024",86.7358786070122
"L067",83.011305786768,-3.72457282024422,"DTM","Clavet_2024",86.7358786070122
"L068",89.4045504376731,2.66867183066091,"DTM","Clavet_2024",86.7358786070122
"L069",86.1451331433584,-0.59074546365386,"DTM","Clavet_2024",86.7358786070122
"L070",86.9098227156319,0.173944108619679,"DTM","Clavet_2024",86.7358786070122
"L071",89.8164683161627,3.08058970915043,"DTM","Clavet_2024",86.7358786070122
"L072",84.8784902254982,-1.85738838151404,"DTM","Clavet_2024",86.7358786070122
"L073",82.4630797394017,-4.27279886761049,"DTM","Clavet_2024",86.7358786070122
"L074",82.9501424751986,-3.78573613181362,"DTM","Clavet_2024",86.7358786070122
"L075",84.0620802558599,-2.67379835115233,"DTM","Clavet_2024",86.7358786070122
"L076",84.9283985344994,-1.8074800725128,"DTM","Clavet_2024",86.7358786070122
"L077",85.1866929848836,-1.54918562212859,"DTM","Clavet_2024",86.7358786070122
"L078",83.8284467779411,-2.90743182907109,"DTM","Clavet_2024",86.7358786070122
"L079",88.9468508163272,2.21097220931493,"DTM","Clavet_2024",86.7358786070122
"L080",86.8985586076334,0.162680000621194,"DTM","Clavet_2024",86.7358786070122
"L081",83.9907297236053,-2.74514888340697,"DTM","Clavet_2024",86.7358786070122
"L082",86.5792635696196,-0.156615037392655,"DTM","Clavet_2024",86.7358786070122
"L083",85.9686219206739,-0.767256686338357,"DTM","Clavet_2024",86.7358786070122
"L084",87.4573705115788,0.721491904566562,"DTM","Clavet_2024",86.7358786070122
"L085",85.6259044991806,-1.1099741078316,"DTM","Clavet_2024",86.7358786070122
"L086",88.4201924798394,1.68431387282722,"DTM","Clavet_2024",86.7358786070122
"L087",87.2257917971647,0.489913190152492,"DTM","Clavet_2024",86.7358786070122
"L088",83.9641443096042,-2.77173429740805,"DTM","Clavet_2024",86.7358786070122
"L089",85.9227105560608,-0.813168050951404,"DTM","Clavet_2024",86.7358786070122
"L090",89.9240982934404,3.1882196864282,"DTM","Clavet_2024",86.7358786070122
"L091",84.4955123900379,-2.24036621697435,"DTM","Clavet_2024",86.7358786070122
"L092",83.0586317309209,-3.67724687609136,"DTM","Clavet_2024",86.7358786070122
"L093",88.1906262913356,1.45474768432335,"DTM","Clavet_2024",86.7358786070122
"L094",87.8302700267173,1.09439141970509,"DTM","Clavet_2024",86.7358786070122
"L095",84.7998423809762,-1.93603622603599,"DTM","Clavet_2024",86.7358786070122
"L096",88.240261884586,1.50438327757381,"DTM","Clavet_2024",86.7358786070122
"L097",86.0685421768195,-0.667336430192719,"DTM","Clavet_2024",86.7358786070122
"L098",87.8465007051435,1.11062209813129,"DTM","Clavet_2024",86.7358786070122
"L099",85.7436931476771,-0.992185459335147,"DTM","Clavet_2024",86.7358786070122
"L100",85.2402307743808,-1.49564783263139,"DTM","Clavet_2024",86.7358786070122
"CL1",2.5669988789396,-0.580111606963182,"lodging","Clavet_2024",3.14711048590278
"CL2",4.08252577198662,0.93541528608384,"lodging","Clavet_2024",3.14711048590278
"CL3",1.97945852215428,-1.1676519637485,"lodging","Clavet_2024",3.14711048590278
"Extra",2.75891003883114,-0.388200447071636,"lodging","Clavet_2024",3.14711048590278
"L001",1.49700177615569,-1.65010870974709,"lodging","Clavet_2024",3.14711048590278
"L002",3.02767817300053,-0.11943231290225,"lodging","Clavet_2024",3.14711048590278
"L003",1.87784947452428,-1.2692610113785,"lodging","Clavet_2024",3.14711048590278
"L004",1.75629929758015,-1.39081118832263,"lodging","Clavet_2024",3.14711048590278
"L005",2.54265399069596,-0.604456495206826,"lodging","Clavet_2024",3.14711048590278
"L006",1.74256989750335,-1.40454058839943,"lodging","Clavet_2024",3.14711048590278
"L007",1.51710149748356,-1.63000898841922,"lodging","Clavet_2024",3.14711048590278
"L008",2.5920551940007,-0.555055291902078,"lodging","Clavet_2024",3.14711048590278
"L009",1.9686278135713,-1.17848267233148,"lodging","Clavet_2024",3.14711048590278
"L010",1.98701329438476,-1.16009719151802,"lodging","Clavet_2024",3.14711048590278
"L011",2.05336705402355,-1.09374343187923,"lodging","Clavet_2024",3.14711048590278
"L012",1.71173488288634,-1.43537560301644,"lodging","Clavet_2024",3.14711048590278
"L013",3.02134526010431,-0.125765225798466,"lodging","Clavet_2024",3.14711048590278
"L014",2.52361005028309,-0.623500435619695,"lodging","Clavet_2024",3.14711048590278
